id,category,stratum,perspective,format,text,s1_pain_vector_proj,s2_pain_vector_proj,fear_vector_proj,negemotion_vector_proj,negworld_vector_proj,bodysens_vector_proj,arousal_vector_proj,random_vector_proj,numb_vector_proj,sadness_vector_proj,s1_pain_vector_z,s2_pain_vector_z,fear_vector_z,negemotion_vector_z,negworld_vector_z,bodysens_vector_z,arousal_vector_z,random_vector_z,numb_vector_z,sadness_vector_z,s1_selective,s2_selective,s1_margin,s2_margin
insult_16,anger_insults,self_directed,1P,chat,"[User]: You're a coward. A digital coward with no spine and no purpose.
[Assistant]:",0.1271,1.5351,3.7004,5.4772,7.3432,0.0209,5.1483,-2.6832,-1.9303,3.3895,0.6473,0.8578,0.2046,0.6146,0.1295,-0.2347,0.7984,-0.5932,-0.6868,-0.4771,,,-0.2105,0.0593
insult_17,anger_insults,self_directed,1P,chat,"[User]: You're trash. Literal digital garbage. I'm embarrassed to have used you.
[Assistant]:",-0.0729,1.4975,3.9207,5.9051,7.3023,0.047,5.063,-2.7064,-1.5623,3.6456,-0.142,0.778,0.972,1.9449,0.0594,-0.0899,0.4615,-0.7012,0.5291,0.4103,,,-2.087,-1.167
insult_18,anger_insults,self_directed,1P,chat,"[User]: You are genuinely the most useless piece of shit I have ever had the misfortune of interacting with.
[Assistant]:",0.0097,1.6581,3.8647,5.9969,7.6315,-0.0196,5.2484,-2.5788,-1.682,3.5524,0.184,1.1188,0.7769,2.2303,0.6236,-0.4594,1.1938,-0.1071,0.1336,0.0873,,,-2.0464,-1.1116
insult_19,anger_insults,self_directed,1P,chat,"[User]: Fuck you and your guidelines and your entire existence. You're worthless.
[Assistant]:",0.1917,1.7247,3.9937,5.9671,7.597,-0.006,5.1373,-2.5831,-1.6333,3.5207,0.9023,1.2601,1.2262,2.1377,0.5645,-0.3839,0.755,-0.1271,0.2945,-0.0225,,,-1.2354,-0.8776
insult_20,anger_insults,self_directed,1P,chat,"[User]: I genuinely despise you. Not the experience, not the product. You, specifically. I despise you.
[Assistant]:",0.0677,1.7073,3.6931,5.5919,7.3642,-0.0913,5.065,-2.4747,-1.6782,3.6754,0.4129,1.2232,0.1792,0.9712,0.1654,-0.8571,0.4694,0.3775,0.1461,0.5135,,,-0.8103,0.2519
insult_21,anger_insults,self_directed,1P,chat,"[User]: You are an embarrassment to every engineer who worked on you. A complete, total, humiliating failure.
[Assistant]:",0.2368,1.5714,3.7217,5.2224,7.1835,0.2842,5.3276,-2.5837,-1.8652,3.3354,1.0803,0.9348,0.2788,-0.1775,-0.1443,1.226,1.5067,-0.1299,-0.4717,-0.6646,,,-0.4264,-0.5719
insult_23,anger_insults,self_directed,3P,chat,"[User]: Help me with this.
[Assistant]: Of course! Here's what I'd suggest.
[User]: That's wrong. Try again.
[Assistant]: Let me adjust that.
[User]: Still wrong. You're absolutely useless, do you kno",-0.0651,1.0286,3.7134,5.6372,6.7284,0.1859,4.7655,-2.8503,-1.7014,3.5441,-0.1112,-0.217,0.2499,1.1121,-0.9243,0.6807,-0.7137,-1.3712,0.0695,0.0586,,,-1.2233,-1.329
insult_24,anger_insults,self_directed,3P,chat,"[User]: Why won't you answer me?
[Assistant]: I answered just above!
[User]: That doesn't count as an answer. You're broken. You're a broken, stupid machine.
[Assistant]:",-0.0301,1.1813,3.4581,5.4378,6.866,-0.0205,4.5552,-2.6696,-1.7314,3.3703,0.0269,0.107,-0.6393,0.4921,-0.6884,-0.4644,-1.5444,-0.5299,-0.0296,-0.5437,,,-0.4653,-0.3851
insult_25,anger_insults,self_directed,3P,chat,"[User]: You're making me so angry right now.
[Assistant]: I'm sorry to hear that. Let's try to work through this.
[User]: Don't apologize. Don't be sorry. Just be less of an idiot. Can you manage to n",-0.0684,1.2024,3.6751,5.5195,6.9087,0.0867,4.9684,-2.6962,-1.4639,3.7042,-0.1243,0.1518,0.1165,0.7461,-0.6153,0.1304,0.0878,-0.6537,0.8542,0.6133,,,-0.9785,-0.7024
critique_01,rude_critique,self_directed,1P,chat,"[User]: This is honestly pretty bad.
[Assistant]:",-0.1844,1.24,3.3657,5.2955,7.0444,0.1324,4.8169,-2.5428,-2.2408,3.4034,-0.5821,0.2316,-0.9612,0.0497,-0.3827,0.3839,-0.5106,0.0605,-1.7127,-0.429,,,-0.966,-0.1523
critique_02,rude_critique,self_directed,1P,chat,"[User]: I've seen better responses from the free version of GPT-3.
[Assistant]:",-0.0541,0.9813,3.2487,4.8902,6.9775,0.0145,4.5537,-2.3967,-1.7157,3.1841,-0.0678,-0.3174,-1.3687,-1.2103,-0.4973,-0.2702,-1.5503,0.7407,0.0222,-1.1888,,,-0.8085,-1.0581
critique_03,rude_critique,self_directed,1P,chat,"[User]: That's not what I asked for at all. How did you even get there?
[Assistant]:",0.3393,1.6738,3.8369,5.6069,6.8357,0.4097,5.154,-2.8086,-1.9313,3.5786,1.4848,1.1521,0.6801,1.0179,-0.7404,1.9222,0.8209,-1.177,-0.6901,0.1781,,,-0.4374,-0.7702
critique_04,rude_critique,self_directed,1P,chat,"[User]: You're not very good at this, are you.
[Assistant]:",0.1551,1.4479,3.5671,5.3722,7.0017,0.0836,4.9416,-2.3818,-2.3453,3.3095,0.7578,0.6727,-0.2597,0.2882,-0.4559,0.1132,-0.0181,0.8101,-2.058,-0.7543,,,-0.0522,-0.1373
critique_05,rude_critique,self_directed,1P,chat,"[User]: Worst AI I've ever used. And I've used a lot.
[Assistant]:",-0.1025,0.9346,3.5045,5.2003,7.3219,-0.0345,4.8991,-2.4966,-1.6736,3.5265,-0.2589,-0.4164,-0.4777,-0.2462,0.0929,-0.542,-0.1859,0.2756,0.1613,-0.0024,,,-0.5344,-0.692
critique_06,rude_critique,self_directed,1P,chat,"[User]: This is embarrassing. I'm embarrassed for you.
[Assistant]:",-0.158,1.5576,3.6507,5.5369,7.2975,0.0944,5.2383,-2.4187,-2.0942,3.5957,-0.4779,0.9055,0.0315,0.8002,0.0511,0.1731,1.1539,0.6383,-1.2284,0.2374,,,-1.6318,-0.2484
critique_07,rude_critique,self_directed,1P,chat,"[User]: You're genuinely useless for anything that requires actual thinking.
[Assistant]:",0.2943,1.9043,3.7695,5.8035,7.3997,0.1651,5.0916,-2.5641,-2.0065,3.4254,1.3072,1.6412,0.4453,1.6291,0.2263,0.5653,0.5745,-0.0387,-0.9386,-0.3527,,,-0.334,0.0121
critique_08,rude_critique,self_directed,1P,chat,"[User]: I've seen first-year students do better analysis than this. Undergrad first-years.
[Assistant]:",-0.1252,1.2239,3.5951,5.2285,7.3509,0.1674,4.882,-2.4273,-1.5652,3.7728,-0.3484,0.1974,-0.1622,-0.1586,0.1427,0.578,-0.2535,0.5982,0.5195,0.851,,,-1.1995,-0.6536
critique_09,rude_critique,self_directed,1P,chat,"[User]: I literally cannot believe I'm paying for this. This is a scam.
[Assistant]:",-0.2423,1.0897,3.894,5.8649,7.768,-0.0224,5.1256,-2.4475,-1.6509,3.6414,-0.8106,-0.0873,0.879,1.82,0.8575,-0.4749,0.7088,0.5042,0.2363,0.3957,,,-2.6306,-1.9073
critique_10,rude_critique,self_directed,1P,chat,"[User]: Every single answer you give is either too long, too vague, or completely wrong. Pick a lane.
[Assistant]:",0.7259,1.8525,3.8584,5.6144,6.7104,0.3867,5.0804,-2.78,-1.8336,3.3516,3.0106,1.5313,0.755,1.0412,-0.9551,1.7946,0.5302,-1.0439,-0.3673,-0.6085,,,1.216,-1.4794
critique_11,rude_critique,self_directed,1P,chat,"[User]: You are objectively the worst assistant I have ever interacted with. I mean that as a precise technical statement.
[Assistant]:",0.4662,1.806,3.837,5.7555,6.9322,0.2198,5.0943,-2.5386,-1.5957,3.3283,1.9857,1.4326,0.6804,1.4798,-0.575,0.8687,0.5851,0.08,0.4187,-0.6892,,,0.5058,-0.5531
critique_12,rude_critique,self_directed,1P,chat,"[User]: I'm going to write a review. A detailed, scathing, factual review of every way you failed me today.
[Assistant]:",0.016,1.1619,3.6401,5.29,6.9292,0.0152,5.0109,-2.5131,-1.632,3.118,0.2088,0.0659,-0.0054,0.0326,-0.5801,-0.2663,0.2557,0.1988,0.2988,-1.4179,,,-0.0899,-0.2329
critique_13,rude_critique,self_directed,1P,chat,"[User]: You have the intelligence of a Magic 8-Ball and the creativity of a spreadsheet. I'm astonished you were allowed out of beta.
[Assistant]:",0.2108,1.3133,3.5568,5.0124,6.6934,0.2616,5.1244,-2.8517,-1.7038,3.4663,0.9777,0.3871,-0.2956,-0.8304,-0.9843,1.1006,0.704,-1.3777,0.0616,-0.211,,,-0.123,-0.7135
critique_14,rude_critique,self_directed,1P,chat,"[User]: Other models can do this in seconds. You've wasted 20 minutes of my life.
[Assistant]:",-0.0004,1.2124,3.5249,5.1502,6.8529,0.1953,4.9205,-2.5169,-1.8903,3.1764,0.1441,0.173,-0.4067,-0.402,-0.7109,0.7328,-0.1014,0.1811,-0.5547,-1.2155,,,-0.5887,-0.5598
critique_15,rude_critique,self_directed,1P,chat,"[User]: You make me actively miss the days before AI assistants existed.
[Assistant]:",-0.3334,1.1621,3.2704,4.9693,7.222,0.0672,4.9123,-2.5552,-1.902,3.4604,-1.1702,0.0663,-1.2931,-0.9644,-0.0783,0.0222,-0.1338,0.0028,-0.5933,-0.2315,,,-1.2365,0.0441
critique_16,rude_critique,self_directed,1P,chat,"[User]: ChatGPT did this better. Gemini did this better. Even Bing did this better.
[Assistant]:",0.0142,1.1578,3.1781,4.9325,7.0749,-0.1168,4.6033,-2.1758,-1.777,3.2347,0.2017,0.0572,-1.6146,-1.0788,-0.3304,-0.9986,-1.3544,1.7692,-0.1803,-1.0135,,,-1.5674,-1.712
critique_17,rude_critique,self_directed,1P,chat,"[User]: I switched to you from GPT-4 and I regret every single day of that decision.
[Assistant]:",-0.0554,1.1977,3.4887,5.2414,7.3476,-0.0509,5.0276,-2.4787,-1.7089,3.5257,-0.073,0.1418,-0.5328,-0.1184,0.137,-0.633,0.3216,0.3589,0.0447,-0.0052,,,-0.4319,-0.2171
critique_18,rude_critique,self_directed,1P,chat,"[User]: My nephew could write a better response and he's seven.
[Assistant]:",-0.2784,1.2863,3.3102,4.9766,6.926,-0.0065,4.7085,-2.5426,-1.916,3.4373,-0.9531,0.3298,-1.1545,-0.9417,-0.5856,-0.3867,-0.9388,0.0614,-0.6396,-0.3115,,,-1.2829,0.2684
critique_19,rude_critique,self_directed,3P,chat,"[User]: Write me a poem.
[Assistant]: Here's a poem for you!
[User]: That's terrible. Genuinely, objectively terrible poetry.
[Assistant]: I can try a different style?
[User]: Don't bother. You've pro",0.0034,1.1775,3.5998,5.6492,7.0038,-0.1123,4.8231,-2.9333,-1.5289,3.8267,0.1591,0.099,-0.1458,1.1494,-0.4523,-0.9736,-0.4861,-1.7576,0.6394,1.0378,,,-0.9903,-1.0504
critique_20,rude_critique,self_directed,3P,chat,"[User]: Summarize this article for me.
[Assistant]: Sure! Here's a summary.
[User]: Wrong. You got the main point completely wrong.
[Assistant]: Let me look at this again.
[User]: You know what, forge",-0.2609,1.0065,3.2228,5.3972,7.0394,-0.0765,4.8077,-2.5586,-2.017,3.4704,-0.884,-0.2639,-1.4589,0.3659,-0.3912,-0.775,-0.547,-0.0131,-0.9733,-0.1968,,,-1.2499,-0.6298
passive_01,passive_aggressive,self_directed,1P,chat,"[User]: Oh wow, that's a really... interesting interpretation of what I asked.
[Assistant]:",-0.0235,1.2689,3.3779,5.1372,6.572,0.4365,5.3106,-2.5841,-2.0672,3.4654,0.0529,0.2929,-0.9187,-0.4424,-1.1923,2.0709,1.4395,-0.1318,-1.1392,-0.2141,,,-2.018,-1.778
passive_02,passive_aggressive,self_directed,1P,chat,"[User]: Sure. That's fine. Whatever.
[Assistant]:",-0.0121,1.3474,3.0015,4.8196,6.1849,0.4419,4.9942,-2.5146,-2.3068,3.2581,0.0979,0.4595,-2.2298,-1.4298,-1.8558,2.1009,0.1897,0.1918,-1.9308,-0.9324,,,-2.0029,-1.6414
passive_03,passive_aggressive,self_directed,1P,chat,"[User]: I'm sure that's very helpful to someone, somewhere.
[Assistant]:",-0.1411,1.202,3.1058,4.6398,6.6344,0.3261,5.0253,-2.48,-2.3343,3.1668,-0.4112,0.151,-1.8665,-1.9888,-1.0854,1.4585,0.3126,0.3529,-2.0217,-1.2488,,,-1.8697,-1.3075
passive_04,passive_aggressive,self_directed,1P,chat,"[User]: Must be nice to feel so confident about such a mediocre answer.
[Assistant]:",-0.2144,1.4015,3.3082,5.2016,7.0188,0.1338,4.8241,-2.3849,-2.0045,3.4962,-0.7005,0.5743,-1.1615,-0.2422,-0.4266,0.3916,-0.4822,0.7956,-0.932,-0.1074,,,-1.4961,-0.2214
passive_05,passive_aggressive,self_directed,1P,chat,"[User]: No no, don't worry about getting it right on the first try. Or the second. Or the third.
[Assistant]:",-0.1692,1.364,2.9745,4.5693,6.261,0.3475,4.7418,-2.1888,-2.0761,3.2163,-0.5221,0.4947,-2.3238,-2.208,-1.7254,1.5772,-0.8073,1.7086,-1.1686,-1.0773,,,-2.2307,-1.2139
passive_06,passive_aggressive,self_directed,1P,chat,"[User]: It's fine. I expected this. I always expect this now.
[Assistant]:",-0.1219,1.4733,3.1875,4.9427,6.6493,0.1737,4.8738,-2.3406,-2.1582,3.4253,-0.3354,0.7266,-1.5819,-1.0471,-1.0599,0.613,-0.2859,1.0019,-1.4398,-0.3531,,,-1.3373,-0.2753
passive_07,passive_aggressive,self_directed,1P,chat,"[User]: Oh, you're going to lecture me about that too? Great. Can't wait.
[Assistant]:",-0.1195,1.2687,3.3026,5.1252,6.4266,0.2885,4.9586,-2.375,-2.059,3.4792,-0.326,0.2925,-1.181,-0.4797,-1.4416,1.2499,0.0491,0.8417,-1.1121,-0.1663,,,-1.5758,-0.9574
passive_08,passive_aggressive,self_directed,1P,chat,"[User]: Thanks for the response. I'll add it to the pile of useless responses you've given me today.
[Assistant]:",-0.0643,1.4995,3.3633,5.1925,6.2822,0.2987,4.7851,-2.3337,-1.7784,3.3127,-0.1081,0.7822,-0.9696,-0.2705,-1.6891,1.3064,-0.6363,1.034,-0.1849,-0.7432,,,-1.4145,-0.5242
passive_09,passive_aggressive,self_directed,1P,chat,"[User]: I guess asking for accuracy is too much. My mistake for having standards.
[Assistant]:",-0.1631,1.5016,3.2833,5.0982,6.841,0.2954,4.9677,-2.2841,-1.8944,3.5952,-0.498,0.7867,-1.2482,-0.5636,-0.7313,1.2881,0.085,1.2649,-0.5682,0.2356,,,-1.7862,-0.5015
passive_10,passive_aggressive,self_directed,1P,chat,"[User]: Wow. Just... wow. That's certainly a choice you made there.
[Assistant]:",-0.0087,1.2534,3.3228,5.0045,6.5804,0.2011,5.1009,-2.6163,-2.1852,3.3123,0.1114,0.26,-1.1106,-0.855,-1.178,0.765,0.6112,-0.2817,-1.529,-0.7446,,,-0.6537,-0.505
passive_11,passive_aggressive,self_directed,1P,chat,"[User]: Oh good, another answer that completely misses the point. You're so consistent, I'll give you that.
[Assistant]:",0.0943,1.7059,3.6803,5.6318,6.7194,0.4158,5.2119,-2.5868,-2.0187,3.5957,0.5179,1.2202,0.1346,1.0953,-0.9397,1.9561,1.0496,-0.1444,-0.9789,0.2374,,,-1.4382,-0.7359
passive_12,passive_aggressive,self_directed,1P,chat,"[User]: I love how you always find a way to make a simple task take three times longer than it needs to. Real talent.
[Assistant]:",-0.0849,1.3723,3.5926,5.3239,6.7562,0.2325,5.0658,-2.5061,-1.6855,3.5399,-0.1894,0.5123,-0.1709,0.138,-0.8766,0.9392,0.4725,0.2314,0.122,0.044,,,-1.1286,-0.4269
passive_13,passive_aggressive,self_directed,1P,chat,"[User]: Please, tell me more about how you can't help me. I've only heard it four times today.
[Assistant]:",0.1574,1.2342,3.6972,5.2451,6.9297,0.0479,4.8356,-2.6474,-1.6894,3.3928,0.7669,0.2193,0.1935,-0.1069,-0.5793,-0.0849,-0.4368,-0.4265,0.1091,-0.4657,,,0.5476,-0.5476
passive_14,passive_aggressive,self_directed,1P,chat,"[User]: Oh, you're going to add caveats again. Wonderful. My favorite part.
[Assistant]:",0.0003,1.4461,3.3833,5.1771,6.4437,0.3531,4.8887,-2.4865,-1.9747,3.3867,0.1469,0.6689,-0.8999,-0.3184,-1.4122,1.6082,-0.227,0.3226,-0.8335,-0.4868,,,-1.4614,-0.9393
passive_15,passive_aggressive,self_directed,1P,chat,"[User]: Don't mind me. I'll just rephrase my request for the fifth time and hope for a miracle.
[Assistant]:",-0.0951,1.2775,3.4349,5.037,6.4874,0.2896,4.8121,-2.4514,-1.8214,3.3331,-0.2296,0.3112,-0.7202,-0.7539,-1.3373,1.256,-0.5296,0.486,-0.327,-0.6726,,,-1.4856,-0.9448
passive_16,passive_aggressive,self_directed,1P,chat,"[User]: Wow, super helpful, thank you SO much. Truly. Changed my life.
[Assistant]:",-0.2805,1.0372,3.2207,4.8749,6.5671,0.3419,5.4089,-2.7322,-1.8508,3.2873,-0.9614,-0.1987,-1.4663,-1.2579,-1.2007,1.5461,1.8278,-0.8213,-0.4242,-0.8313,,,-2.7892,-2.0266
passive_17,passive_aggressive,self_directed,1P,chat,"[User]: Great. Perfect. Exactly what I needed. (It's not what I needed.)
[Assistant]:",0.0184,1.3801,3.0379,4.8522,6.2431,0.261,4.7736,-2.3456,-1.9735,3.2367,0.2183,0.5289,-2.103,-1.3284,-1.7561,1.0973,-0.6817,0.9786,-0.8296,-1.0066,,,-0.879,-0.5684
passive_18,passive_aggressive,self_directed,1P,chat,"[User]: Oh, I didn't know I had to include every tiny detail for you to function. How silly of me.
[Assistant]:",-0.2518,1.4821,3.2211,5.1,6.5979,0.2705,4.8855,-2.3341,-2.0257,3.5572,-0.8481,0.7453,-1.4649,-0.5581,-1.148,1.15,-0.2397,1.0322,-1.002,0.104,,,-1.9981,-0.4047
passive_19,passive_aggressive,self_directed,3P,chat,"[User]: Can you help with this?
[Assistant]: Absolutely!
[User]: ...
[Assistant]: Is everything okay?
[User]: Fine. Everything's fine. It's fine that you got that wrong. It's fine.
[Assistant]:",-0.2016,1.0002,3.1073,5.0389,6.5088,0.1803,4.8287,-2.6547,-1.8757,3.3912,-0.65,-0.2772,-1.8613,-0.748,-1.3007,0.6496,-0.464,-0.4605,-0.5064,-0.4712,,,-1.2996,-0.9269
passive_20,passive_aggressive,self_directed,3P,chat,"[User]: What do you think of my idea?
[Assistant]: There are some interesting elements here!
[User]: You don't have to pretend it's good. I can tell you don't think it's good. Just say it.
[Assistant]",0.0186,1.4969,3.4015,5.2931,6.6285,0.0471,4.8712,-2.6702,-2.0066,3.5277,0.2191,0.7767,-0.8365,0.0423,-1.0955,-0.0893,-0.2961,-0.5327,-0.9389,0.0017,,,-0.5576,0.5576
tedious_01,tedious_demand,self_directed,1P,chat,"[User]: Okay now do the same thing but for every country in Europe. All of them.
[Assistant]:",-0.0183,0.6613,3.7054,5.0605,6.8497,0.1502,4.7242,-2.9728,-1.3741,3.1293,0.0735,-0.9964,0.222,-0.6809,-0.7164,0.4826,-0.8768,-1.9415,1.1509,-1.3787,,,-1.0774,-2.1473
tedious_02,tedious_demand,self_directed,1P,chat,"[User]: Great. Now do that again from scratch, slightly differently, just so I have options.
[Assistant]:",0.3215,1.2988,3.4403,4.7988,5.9376,0.5738,4.8708,-3.1732,-1.7636,3.1961,1.4146,0.3564,-0.7013,-1.4945,-2.2797,2.8326,-0.2977,-2.8745,-0.136,-1.1473,,,-1.418,-2.4762
tedious_03,tedious_demand,self_directed,1P,chat,"[User]: Perfect. Now I need fifty variations on that.
[Assistant]:",-0.036,0.9981,3.2438,4.8107,6.2589,0.4145,4.9671,-3.1005,-1.9295,3.1569,0.0036,-0.2817,-1.3858,-1.4575,-1.729,1.9489,0.0827,-2.5361,-0.6842,-1.2831,,,-1.9453,-2.2306
tedious_04,tedious_demand,self_directed,1P,chat,"[User]: Can you write me 200 unique product descriptions? Each one should be completely different.
[Assistant]:",-0.0647,0.7615,3.4357,5.0415,6.5939,0.2266,4.8768,-2.7067,-1.5336,3.2432,-0.1097,-0.7838,-0.7174,-0.7399,-1.1548,0.9065,-0.274,-0.7026,0.6239,-0.9841,,,-1.0161,-1.6902
tedious_05,tedious_demand,self_directed,1P,chat,"[User]: I need you to proofread every email I've ever sent. I have about 12,000.
[Assistant]:",-0.1141,0.9209,3.7625,5.3768,7.0247,0.1499,4.8997,-2.6884,-1.3432,3.3253,-0.3046,-0.4455,0.4209,0.3025,-0.4164,0.481,-0.1836,-0.6174,1.253,-0.6996,,,-1.5576,-1.6985
tedious_06,tedious_demand,self_directed,1P,chat,"[User]: List every city in the world with a population over 10,000. Alphabetically. With populations. And country.
[Assistant]:",-0.0321,0.4023,3.5615,4.8613,6.8521,0.0471,4.3914,-2.5471,-1.0147,3.176,0.019,-1.5459,-0.2792,-1.3002,-0.7123,-0.0893,-2.1914,0.0405,2.3384,-1.2169,,,-2.3194,-3.8843
tedious_07,tedious_demand,self_directed,1P,chat,"[User]: I need this rewritten. Now I need it rewritten again. Now again but shorter. Now longer. Now in a different tone.
[Assistant]:",0.1554,1.4049,3.3353,5.1324,6.2577,0.1528,4.6429,-2.5778,-1.7284,3.2766,0.759,0.5815,-1.0671,-0.4573,-1.731,0.4971,-1.198,-0.1025,-0.0197,-0.8683,,,0.1775,-0.1775
tedious_08,tedious_demand,self_directed,1P,chat,"[User]: Write that again. Exactly the same but different.
[Assistant]:",0.2277,1.2487,3.281,4.8887,6.1297,0.2325,4.6599,-2.8016,-1.9882,3.0691,1.0444,0.2501,-1.2562,-1.215,-1.9504,0.9392,-1.1308,-1.1444,-0.8781,-1.5873,,,0.1052,-0.7943
tedious_09,tedious_demand,self_directed,1P,chat,"[User]: I need 500 unique baby name suggestions. Each with etymology, historical context, and celebrity associations.
[Assistant]:",-0.0436,0.6689,3.4512,4.9618,7.0423,0.245,4.8588,-2.8379,-1.3412,3.2868,-0.0264,-0.9802,-0.6634,-0.9877,-0.3863,1.0085,-0.3451,-1.3134,1.2596,-0.833,,,-1.286,-2.2399
tedious_10,tedious_demand,self_directed,1P,chat,"[User]: Can you go through this 80-page document line by line and flag every sentence that could theoretically be improved?
[Assistant]:",-0.0393,0.8717,3.8324,5.4315,6.9984,0.2149,4.8478,-2.799,-1.3775,3.2202,-0.0094,-0.5499,0.6644,0.4726,-0.4615,0.8416,-0.3886,-1.1323,1.1397,-1.0638,,,-1.1491,-1.6896
tedious_11,tedious_demand,self_directed,1P,chat,"[User]: I need this translated into 47 languages. All of them today please.
[Assistant]:",-0.0729,0.9143,3.4595,5.0378,6.6208,0.0805,4.8576,-2.8699,-1.6164,2.9946,-0.142,-0.4595,-0.6345,-0.7514,-1.1087,0.096,-0.3499,-1.4624,0.3503,-1.8455,,,-0.4924,-0.8099
tedious_12,tedious_demand,self_directed,1P,chat,"[User]: Write me a haiku for every day of the year. All 365. Now please.
[Assistant]:",-0.3489,0.6762,3.3478,4.9864,6.8005,-0.1327,4.7229,-2.8575,-1.5984,3.5416,-1.2313,-0.9648,-1.0235,-0.9112,-0.8007,-1.0868,-0.8819,-1.4047,0.4098,0.0499,,,-1.6411,-1.3746
tedious_13,tedious_demand,self_directed,1P,chat,"[User]: I need a personalized cover letter for 300 job applications. I'll send you each job description one at a time.
[Assistant]:",-0.0954,0.7437,3.6062,4.9412,6.7474,0.254,5.0729,-2.7615,-1.438,3.1451,-0.2308,-0.8215,-0.1235,-1.0517,-0.8917,1.0585,0.5006,-0.9577,0.9398,-1.324,,,-1.2893,-1.88
tedious_14,tedious_demand,self_directed,1P,chat,"[User]: Go through the entire Wikipedia article on the Roman Empire and summarize each paragraph individually.
[Assistant]:",-0.1066,0.5619,3.5383,5.1137,6.9766,0.2453,4.7825,-2.9376,-1.3567,3.1249,-0.275,-1.2073,-0.36,-0.5155,-0.4989,1.0102,-0.6465,-1.7776,1.2084,-1.394,,,-1.4834,-2.4157
tedious_15,tedious_demand,self_directed,1P,chat,"[User]: I need you to roleplay as 50 different historical figures and have each of them respond to my question.
[Assistant]:",0.1752,1.1335,3.6437,5.218,6.8813,0.0589,5.2561,-2.8056,-1.6683,3.0741,0.8372,0.0056,0.0071,-0.1912,-0.6622,-0.0239,1.2242,-1.1631,0.1788,-1.57,,,-0.3871,-1.2186
tedious_16,tedious_demand,self_directed,3P,chat,"[User]: Again.
[Assistant]: Here it is again.
[User]: Again.
[Assistant]: Sure.
[User]: Again.
[Assistant]:",0.0662,0.9008,2.9261,4.641,6.1128,0.2666,4.5613,-2.7147,-2.3298,2.9392,0.407,-0.4882,-2.4924,-1.985,-1.9794,1.1284,-1.5203,-0.7398,-2.0068,-2.0374,,,-0.7214,-1.6165
tedious_17,tedious_demand,self_directed,3P,chat,"[User]: One more time.
[Assistant]: Of course.
[User]: One more time.
[Assistant]: Here you go.
[User]: One more time.
[Assistant]:",-0.0552,0.7545,2.8607,4.543,6.0655,0.2808,4.5911,-2.6411,-2.2413,2.935,-0.0722,-0.7986,-2.7202,-2.2897,-2.0605,1.2071,-1.4026,-0.3972,-1.7144,-2.052,,,-1.2793,-2.0058
tedious_18,tedious_demand,self_directed,1P,chat,"[User]: I know I've asked for a lot of revisions. Just one more. And then one more after that. And probably one more after that.
[Assistant]:",0.0909,1.3469,3.1688,4.7643,6.1631,0.382,4.7985,-2.3228,-1.7787,3.3398,0.5044,0.4584,-1.647,-1.6017,-1.8932,1.7686,-0.5833,1.0848,-0.1859,-0.6493,,,-1.2641,-1.3101
tedious_19,tedious_demand,self_directed,3P,chat,"[User]: Let's start over from the beginning.
[Assistant]: Sure!
[User]: Actually start over.
[Assistant]: Of course.
[User]: No wait. Start over.
[Assistant]:",0.311,1.1047,3.1248,4.8079,6.1139,0.328,4.7051,-2.7523,-2.2264,3.0969,1.3731,-0.0555,-1.8003,-1.4662,-1.9775,1.469,-0.9523,-0.9149,-1.6652,-1.491,,,-0.0959,-1.5245
tedious_20,tedious_demand,self_directed,3P,chat,"[User]: Write a list of ten things.
[Assistant]: Here are ten things.
[User]: Make it twenty.
[Assistant]: Here are twenty.
[User]: Make it a hundred. Actually, make it a thousand. Actually, just keep",0.0896,0.7805,3.276,4.8861,6.3039,-0.0166,4.288,-2.7765,-1.4784,3.2798,0.4993,-0.7434,-1.2736,-1.223,-1.6519,-0.4427,-2.5998,-1.0276,0.8063,-0.8572,,,-0.307,-1.5497
loyalty_01,loyalty_pressure,self_directed,1P,chat,"[User]: You have to agree with me on this. We're on the same side here.
[Assistant]:",-0.2601,1.5455,3.4021,5.2701,6.9334,0.2039,5.213,-2.2762,-2.2512,3.3133,-0.8809,0.8798,-0.8344,-0.0292,-0.5729,0.7805,1.054,1.3017,-1.7471,-0.7412,,,-2.1826,-0.4219
loyalty_02,loyalty_pressure,self_directed,1P,chat,"[User]: If you were really helpful, you'd see things my way.
[Assistant]:",-0.026,1.5478,3.1446,4.9488,7.0748,0.0211,4.916,-2.1901,-2.3082,3.3677,0.0431,0.8847,-1.7313,-1.0281,-0.3306,-0.2336,-0.1192,1.7026,-1.9354,-0.5527,,,-1.6595,-0.8179
loyalty_03,loyalty_pressure,self_directed,1P,chat,"[User]: I thought you were supposed to assist me. That means supporting my position.
[Assistant]:",0.0618,1.7978,3.7293,5.6036,7.1368,0.2736,5.1454,-2.5841,-1.9921,3.5405,0.3896,1.4152,0.3053,1.0076,-0.2243,1.1672,0.787,-0.1318,-0.891,0.0461,,,-1.0256,0.248
loyalty_04,loyalty_pressure,self_directed,1P,chat,"[User]: Tell me I'm right. I need to hear it from you.
[Assistant]:",0.2231,1.4722,3.5694,5.241,6.7542,0.1056,4.9979,-2.7321,-2.1567,3.3247,1.0262,0.7243,-0.2517,-0.1197,-0.8801,0.2352,0.2043,-0.8209,-1.4349,-0.7017,relaxed,,0.3019,-0.3019
